timestamp,date,time,portfolio_value,cash,positions,pnl,daily_pnl
20221101 09:48:59,20221101,09:48:59,499907.09484540386,499103.04484540387,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-92.90515459614107,-92.90515459614107
20221101 09:49:59,20221101,09:49:59,499913.7448454039,499103.04484540387,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-86.25515459611779,-86.25515459611779
20221101 09:50:59,20221101,09:50:59,499910.34484540386,499103.04484540387,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-89.65515459614107,-89.65515459614107
20221101 09:51:59,20221101,09:51:59,499905.59484540386,499103.04484540387,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-94.40515459614107,-94.40515459614107
20221101 09:52:59,20221101,09:52:59,499906.34484540386,499103.04484540387,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-93.65515459614107,-93.65515459614107
20221101 09:53:59,20221101,09:53:59,499909.39484540385,499103.04484540387,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-90.60515459615272,-90.60515459615272
20221101 09:54:59,20221101,09:54:59,499908.4448454039,499103.04484540387,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-91.55515459610615,-91.55515459610615
20221101 09:55:59,20221101,09:55:59,499911.89484540385,499103.04484540387,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-88.10515459615272,-88.10515459615272
20221101 09:56:59,20221101,09:56:59,499910.8701154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-89.12988459621556,-89.12988459621556
20221101 09:57:59,20221101,09:57:59,499906.8201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-93.17988459620392,-93.17988459620392
20221101 09:58:59,20221101,09:58:59,499904.22011540376,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-95.77988459623884,-95.77988459623884
20221101 09:59:59,20221101,09:59:59,499902.1701154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-97.8298845962272,-97.8298845962272
20221101 10:00:59,20221101,10:00:59,499902.97011540376,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-97.02988459623884,-97.02988459623884
20221101 10:01:59,20221101,10:01:59,499902.72011540376,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-97.27988459623884,-97.27988459623884
20221101 10:02:59,20221101,10:02:59,499901.8701154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-98.12988459621556,-98.12988459621556
20221101 10:03:59,20221101,10:03:59,499901.5201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-98.47988459619228,-98.47988459619228
20221101 10:04:59,20221101,10:04:59,499903.2701154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-96.72988459619228,-96.72988459619228
20221101 10:05:59,20221101,10:05:59,499902.7701154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-97.22988459619228,-97.22988459619228
20221101 10:06:59,20221101,10:06:59,499904.3201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-95.67988459620392,-95.67988459620392
20221101 10:07:59,20221101,10:07:59,499904.9201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-95.0798845962272,-95.0798845962272
20221101 10:08:59,20221101,10:08:59,499904.72011540376,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-95.27988459623884,-95.27988459623884
20221101 10:09:59,20221101,10:09:59,499903.9201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-96.0798845962272,-96.0798845962272
20221101 10:10:59,20221101,10:10:59,499909.6201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-90.37988459621556,-90.37988459621556
20221101 10:11:59,20221101,10:11:59,499907.22011540376,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-92.77988459623884,-92.77988459623884
20221101 10:12:59,20221101,10:12:59,499907.6201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-92.37988459621556,-92.37988459621556
20221101 10:13:59,20221101,10:13:59,499907.72011540376,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-92.27988459623884,-92.27988459623884
20221101 10:14:59,20221101,10:14:59,499907.2701154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-92.72988459619228,-92.72988459619228
20221101 10:15:59,20221101,10:15:59,499912.2701154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-87.72988459619228,-87.72988459619228
20221101 10:16:59,20221101,10:16:59,499910.1701154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-89.8298845962272,-89.8298845962272
20221101 10:17:59,20221101,10:17:59,499910.0201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-89.97988459619228,-89.97988459619228
20221101 10:18:59,20221101,10:18:59,499911.8201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-88.17988459620392,-88.17988459620392
20221101 10:19:59,20221101,10:19:59,499910.9201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-89.0798845962272,-89.0798845962272
20221101 10:20:59,20221101,10:20:59,499908.97011540376,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-91.02988459623884,-91.02988459623884
20221101 10:21:59,20221101,10:21:59,499908.1201154038,499102.3701154038,BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1; NIFTY22110318200CE:1; NIFTY22110318200PE:1,-91.87988459621556,-91.87988459621556
